DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"521340 MOIPORA";-;-;-;1;-;-;-;-;-;1
"521350 MONTE ALEGRE DE GOIAS";1;1;2;4;5;3;-;-;-;16
"521370 MONTES CLAROS DE GOIAS";2;1;3;4;1;2;8;1;-;22
"521375 MONTIVIDIU";-;-;-;1;1;-;-;1;-;3
"521380 MORRINHOS";1;4;4;1;2;2;4;1;-;19
"521385 MORRO AGUDO DE GOIAS";-;1;-;-;-;-;-;-;-;1
"521390 MOSSAMEDES";2;2;1;2;2;2;-;2;-;13
"521400 MOZARLANDIA";1;1;-;2;6;2;3;-;-;15
"521405 MUNDO NOVO";-;-;-;-;-;1;-;2;-;3
"521440 NAZARIO";-;-;-;1;1;-;-;-;-;2
"521450 NEROPOLIS";1;3;7;5;3;13;2;2;-;36
"521460 NIQUELANDIA";-;2;-;-;1;1;-;-;-;4
"521480 NOVA AURORA";3;1;1;1;1;2;-;1;-;10
"521486 NOVA GLORIA";-;1;-;2;-;-;-;-;-;3
"521487 NOVA IGUACU DE GOIAS";-;-;-;-;-;1;-;-;-;1
"521490 NOVA ROMA";10;11;7;7;3;3;1;-;1;43
"521500 NOVA VENEZA";-;-;-;1;1;3;2;1;2;10
"521520 NOVO BRASIL";1;2;1;-;-;1;2;-;1;8
"521523 NOVO GAMA";1;3;2;2;5;-;9;3;-;25
"521530 ORIZONA";-;-;-;-;-;1;-;-;-;1
"521550 OUVIDOR";-;-;1;1;1;1;3;-;-;7
"521560 PADRE BERNARDO";2;1;1;1;2;-;-;1;-;8
"521570 PALMEIRAS DE GOIAS";-;2;2;2;4;1;13;8;4;36
"521590 PALMINOPOLIS";1;-;-;-;-;-;-;-;-;1
"521600 PANAMA";-;-;-;1;-;-;-;-;-;1
"521630 PARANAIGUARA";1;-;-;-;-;-;-;-;-;1
"521640 PARAUNA";-;-;-;-;-;-;-;6;3;9
"521680 PETROLINA DE GOIAS";-;-;-;-;-;-;1;-;-;1
"521710 PIRACANJUBA";-;-;-;1;-;2;-;-;-;3
"521720 PIRANHAS";6;2;6;3;3;-;-;-;-;20
"521730 PIRENOPOLIS";9;17;7;7;8;6;10;17;2;83
"521740 PIRES DO RIO";-;-;-;1;-;-;1;3;-;5
"521760 PLANALTINA";2;-;-;5;6;4;6;6;4;33
"521770 PONTALINA";3;1;3;2;-;1;-;-;-;10
"521800 PORANGATU";4;2;1;1;3;3;2;-;-;16
"521810 PORTELANDIA";-;-;-;-;1;-;-;-;-;1
"521830 POSSE";1;-;1;-;1;-;1;6;1;11
"521839 PROFESSOR JAMIL";1;-;-;-;-;-;-;-;-;1
"521850 QUIRINOPOLIS";-;1;2;1;2;1;1;1;-;9
"521860 RIALMA";4;1;5;8;25;11;5;6;3;68
"521878 RIO QUENTE";-;-;1;-;-;-;1;-;-;2
"521880 RIO VERDE";86;138;138;126;189;209;185;167;48;1286
"521890 RUBIATABA";3;4;3;3;2;2;-;1;2;20
"521900 SANCLERLANDIA";-;6;8;3;6;8;2;-;1;34
"521910 SANTA BARBARA DE GOIAS";3;3;2;4;3;6;5;-;-;26
"521920 SANTA CRUZ DE GOIAS";-;-;-;-;-;-;-;-;1;1
"521925 SANTA FE DE GOIAS";-;-;-;-;-;1;-;-;-;1
"521930 SANTA HELENA DE GOIAS";-;1;-;1;-;-;-;-;-;2
"521970 SANTA TEREZINHA DE GOIAS";-;2;1;-;-;-;-;1;-;4
"521971 SANTO ANTONIO DA BARRA";-;1;-;1;2;2;3;1;1;11
"521973 SANTO ANTONIO DE GOIAS";-;1;-;-;-;1;1;-;-;3
"521975 SANTO ANTONIO DO DESCOBERTO";2;2;1;1;5;5;2;1;-;19
"521990 SAO FRANCISCO DE GOIAS";-;-;-;-;2;-;-;-;-;2
"522005 SAO JOAO DA PARAUNA";-;-;-;1;-;-;-;1;1;3
"522010 SAO LUIS DE MONTES BELOS";6;5;8;12;26;12;25;18;13;125
"522015 SAO LUIZ DO NORTE";1;-;-;-;-;-;-;1;-;2
"522020 SAO MIGUEL DO ARAGUAIA";-;2;1;1;1;-;-;1;1;7
"522040 SAO SIMAO";-;4;4;3;1;6;5;3;2;28
"522045 SENADOR CANEDO";2;4;4;4;7;13;-;3;-;37
"522050 SERRANOPOLIS";4;1;23;23;20;14;23;12;3;123
"522060 SILVANIA";-;-;-;3;-;-;-;-;-;3
"522100 TAQUARAL DE GOIAS";-;-;-;-;-;-;-;1;-;1
"522130 TRES RANCHOS";1;1;1;-;-;-;-;-;-;3
"522140 TRINDADE";2;3;4;3;6;3;1;2;1;25
"522145 TROMBAS";-;-;-;-;-;-;-;1;-;1
"522150 TURVANIA";-;1;-;-;-;1;-;-;1;3
"522157 UIRAPURU";1;-;-;2;-;-;-;1;-;4
"522160 URUACU";3;-;1;6;3;4;3;2;-;22
"522170 URUANA";1;-;-;-;-;-;-;-;-;1
"522185 VALPARAISO DE GOIAS";1;-;-;2;3;-;2;1;2;11
"530010 BRASILIA";16;14;21;16;31;24;29;21;22;194
"000000 Ignorado ou exterior";4658;4849;5265;5961;7873;9491;12369;13816;7661;71943
"Total";9359;9888;10788;11606;14366;16111;19668;20148;10416;122350
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 28/07/2021, corrigidos em 18/11/2025 em relação à variável "Semana epidemiológica da notificação".
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas, incluídos os dados do ES em 29/12/2025.
 Dados de 2024 atualizados em 28/07/2025 às 03:00 horas, incluídos os dados do ES em 28/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 02/03/2026 às 18:00 horas, sujeitos à revisão e incluídos os dados do ES em 02/03/2026.
 Dados de 2026 atualizados em 09/03/2026 às 03:00 horas, sujeitos à revisão e incluídos os dados do ES em 09/03/2026.
 * Dados disponibilizados no TABNET em março de 2026.
 
